name,system_code,mohs,sg,ri,ri_no,ri_ne,formula,carbonate,phosphate,sulphate,cyanide,nitrate,hydroxyl,acetate,ammonium,hydrated water,oxygen,silicon,fluorine,chlorine,bromine,iodine,system,group
Andersonite,5.0,2.5,2.8,1.53,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,Hex/Trig,Oxide
Andesine,1.0,6.25,2.67,1.5530000000000002,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,Triclinic,Silicate
Andradite,6.0,6.75,3.853,1.887,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Cubic,Silicate
Andyrobertsite,2.0,3.0,4.0,1.742,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Anhydrite,3.0,3.5,2.97,1.587,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Orthorhombic,Oxide
Annabergite,2.0,2.0,3.07,1.656,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Annite,2.0,2.75,3.3,1.6669999999999998,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,Monoclinic,Silicate
Anorthite,1.0,6.0,2.735,1.582,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,0.0,0.0,Triclinic,Silicate
Anorthoclase,1.0,6.0,2.585,1.528,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,Triclinic,Silicate
Antarcticite,5.0,2.5,1.715,1.513,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,Hex/Trig,Oxide
Anthophyllite,3.0,5.75,3.025,1.646,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,Orthorhombic,Silicate
Antigorite,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,51.0,17.0,0.0,0.0,0.0,0.0,Unknown,Silicate
Antlerite,3.0,3.25,3.9,1.751,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,Orthorhombic,Oxide
Aphthitalite,5.0,3.0,2.685,1.492,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Hex/Trig,Oxide
Apophyllite,3.0,4.75,2.35,1.536,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,Orthorhombic,Silicate
Aragonite,3.0,3.75,2.95,1.634,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Orthorhombic,Oxide
Arcanite,3.0,2.0,2.66,1.495,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Orthorhombic,Oxide
Archerite,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Unknown,Oxide
Arctite,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,Unknown,Oxide
Arfvedsonite,2.0,5.5,3.4,1.682,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,Monoclinic,Silicate
Argutite,4.0,6.5,6.28,2.01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Tetragonal,Oxide
Armalcolite,3.0,5.0,3.82,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Orthorhombic,Oxide
Arsenoclasite,3.0,5.5,0.0,1.804,,,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,Orthorhombic,Oxide
Arsenolite,6.0,1.5,3.87,1.755,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Cubic,Oxide
Arthurite,2.0,3.5,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Artinite,2.0,2.5,2.02,1.526,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Artroeite,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,Triclinic,Oxide
Ashburtonite,4.0,0.0,4.38,1.793,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,Tetragonal,Silicate
Astrophyllite,1.0,3.5,3.3,1.703,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,Triclinic,Silicate
Atacamite,3.0,3.25,3.76,1.857,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,Orthorhombic,Oxide
Aubertite,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,Unknown,Oxide
Augelite,2.0,4.25,2.696,1.579,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Augite,2.0,5.75,3.375,1.72,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,Monoclinic,Silicate
Aurichalcite,2.0,2.0,3.96,1.713,,,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Austinite,3.0,4.25,4.12,1.768,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,Orthorhombic,Oxide
Autunite,3.0,2.25,3.15,1.568,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,Orthorhombic,Oxide
Avogadrite,3.0,0.0,2.9,1.324,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Orthorhombic,Halide
Azurite,2.0,3.75,3.776,1.775,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Babefphite,1.0,3.5,4.31,1.631,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,Triclinic,Oxide
Babingtonite,1.0,5.75,3.3,1.712,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,Triclinic,Silicate
Baddeleyite,2.0,6.5,5.75,2.173,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Bakerite,2.0,2.33,2.88,1.638,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,Monoclinic,Silicate
Banalsite,3.0,6.5,3.065,1.5730000000000002,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,Orthorhombic,Silicate
Baotite,4.0,6.0,0.0,1.97,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,Tetragonal,Silicate
Bararite,5.0,2.5,2.152,0.989,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Hex/Trig,Halide
Barrerite,3.0,3.5,2.13,1.484,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,5.0,0.0,0.0,0.0,0.0,Orthorhombic,Silicate
Barstowite,2.0,3.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,Monoclinic,Oxide
Barytocalcite,2.0,4.0,3.675,1.632,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Bassanite,2.0,0.0,2.725,1.5659999999999998,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
Bayldonite,2.0,2.33,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,Monoclinic,Oxide
